,Proxy,area_name_en,area_lat,area_lon,nRecords,Average Meter Sale Price
0,Al Merkadh,Al Barsha First,25.10849909,55.1923845,196,12469.4
1,Al Merkadh,Al Barsha South Fifth,25.04291825,55.18747333,8974,15225.205
2,Al Merkadh,Al Barsha South Fourth,25.05936493,55.21207713,55847,13009.17
3,Al Merkadh,Al Barshaa South Second,25.07190314,55.23227541,8502,16438.04
4,Al Merkadh,Al Barshaa South Third,25.06209482,55.23443163,16408,13155.82
5,Al Merkadh,Al Goze Fourth,25.15204218,55.2538392,802,6706.42
6,Al Merkadh,Al Hebiah Fifth,25.00242864,55.24042905,4858,10750.975
7,Al Merkadh,Al Hebiah First,25.04998492,55.23894687,8955,19708.12
8,Al Merkadh,Al Hebiah Fourth,25.03502194,55.21354639,10947,8991.36
9,Al Merkadh,Al Hebiah Second,25.03836176,55.24784173,3184,14454.87
10,Al Merkadh,Al Hebiah Sixth,25.02119178,55.26280555,219,11331.85
11,Al Merkadh,Al Hebiah Third,25.02147288,55.26216265,5837,13243.92
12,Al Merkadh,Al Merkadh,25.16984676,55.29268975,25580,18912.5
13,Al Merkadh,Al Yelayiss 2,24.99404911,55.29142486,8901,12244.58
14,Al Merkadh,Hadaeq Sheikh Mohammed Bin Rashid,25.1053253,55.26733804,20325,22032.19
15,Al Merkadh,Madinat Hind 4,24.9981931,55.37157657,1959,12612.07
16,Al Merkadh,Saih Shuaib 2,24.87549227,55.05686863,1182,14616.45
17,Al Merkadh,Wadi Al Safa 2,25.10606176,55.36153117,3709,10313.13
18,Al Merkadh,Wadi Al Safa 3,25.11569338,55.32337167,7622,13188.985
19,Al Merkadh,Wadi Al Safa 4,25.07281915,55.31302736,3588,19317.36
20,Al Merkadh,Wadi Al Safa 5,25.08232101,55.36365192,16686,12378.49
21,Al Merkadh,Wadi Al Safa 7,25.04253774,55.28449984,1181,9487.09
22,Al Warsan First,Al Jadaf,25.21430093,55.32735895,6918,16300.725
23,Al Warsan First,Al Warsan First,25.1599767,55.4246648,8135,5555.56
24,Al Warsan First,Nad Al Hamar,25.20191882,55.38446945,112,10511.115000000002
25,Al Warsan First,Nad Al Shiba,25.1451203,55.3392738,866,6848.74
26,Al Warsan First,Nad Al Shiba First,25.14725852,55.30501384,2108,13772.91
27,Bukadra,Al Kifaf,25.23424657,55.29696777,3750,19182.37
28,Bukadra,Al Thanyah Fifth,25.051959,55.15578,18556,14016.0
29,Bukadra,Al Thanyah First,25.0987035,55.1725124,564,9583.474999999999
30,Bukadra,Al Thanyah Third,25.094255,55.161612,5516,13603.05
31,Bukadra,Bukadra,25.1770677,55.3250371,7404,25994.56
32,Bukadra,Madinat Dubai Almelaheyah,25.266914,55.266119,11227,26446.28
33,Bukadra,Rega Al Buteen,25.25944987,55.31737608,47,7743.75
34,Bukadra,Um Hurair Second,25.23840744,55.32760641,37,17081.8
35,Burj Khalifa,Al Safouh First,25.12303578,55.1792713,490,12606.119999999999
36,Burj Khalifa,Al Safouh Second,25.10001893,55.16360094,1214,27136.75
37,Burj Khalifa,Al Satwa,25.21992155,55.2742099,1426,22212.985
38,Burj Khalifa,Al Wasl,25.19685113,55.25356365,7478,25492.195
39,Burj Khalifa,Burj Khalifa,25.19005375,55.27814093,22890,22844.97
40,Burj Khalifa,Trade Center First,25.21780805,55.27795394,339,38891.34
41,Burj Khalifa,Trade Center Second,25.21364395,55.28021207,905,49503.16
42,Burj Khalifa,Zaabeel First,25.2229504,55.30536808,1966,29218.14
43,Burj Khalifa,Zaabeel Second,25.1988826,55.29829935,2565,26134.71
44,Business Bay,Business Bay,25.18762593,55.27989946,39831,22071.96
45,Jabal Ali First,Al Qusais Industrial Fourth,25.29346782,55.40008641,27,6905.1
46,Jabal Ali First,Dubai Investment Park First,24.99222384,55.16651934,958,9425.369999999999
47,Jabal Ali First,Dubai Investment Park Second,24.97551093,55.20975585,2997,15833.21
48,Jabal Ali First,Jabal Ali,25.01126,55.06116,3059,6860.47
49,Jabal Ali First,Jabal Ali First,25.03192836,55.14232708,15296,12569.98
50,Jabal Ali First,Jabal Ali Industrial Second,24.95823558,55.10601052,1844,13358.335
51,Jabal Ali First,Me'Aisem First,25.0177834,55.18312486,12073,11950.59
52,Jabal Ali First,Ras Al Khor Industrial First,25.17775008,55.33622108,2727,23411.58
53,Madinat Al Mataar,Madinat Al Mataar,24.91892638,55.18015257,13365,15757.18
54,Nadd Hessa,Al Khairan First,25.19564786,55.36033252,18291,22329.94
55,Nadd Hessa,Al Nahda First,25.28850649,55.36400769,213,2826.89
56,Nadd Hessa,Hessyan First,24.96920273,55.0250756,113,5818.4
57,Nadd Hessa,Mirdif,25.22331903,55.42166405,1125,12378.44
58,Nadd Hessa,Muhaisanah First,25.24457265,55.42065575,910,12404.695
59,Nadd Hessa,Nadd Hessa,25.12321,55.386619,9106,9382.305
60,Nadd Hessa,Warsan Fourth,25.14379674,55.40635719,3371,8701.97
61,Palm Jumeirah,Island 2,25.1985959,55.2240363,244,78807.08
62,Palm Jumeirah,Jumeirah First,25.2249316,55.2584809,1683,24767.8
63,Palm Jumeirah,Jumeirah Second,25.2075147,55.2394827,302,65436.899999999994
64,Palm Jumeirah,Marsa Dubai,25.09547176,55.13076456,39973,21434.54
65,Palm Jumeirah,Palm Deira,25.33227698,55.2704399,4741,25232.92
66,Palm Jumeirah,Palm Jumeirah,25.1193271,55.1317401,9411,22544.6
67,Palm Jumeirah,Um Suqaim Third,25.14280454,55.18731602,3284,24423.989999999998
